"option_d_uk","question_ru","option_b_uk","correct_answer","option_a_en","question_pl","option_b_ru","option_c_uz","option_d_ru","option_a_uz","option_c_en","option_b_pl","option_d_pl","question_en","option_c_uk","question_uz","option_a_uk","option_b_en","option_d_uz","option_a_ru","option_c_ru","option_d_en","option_b_uz","question_uk","option_c_pl","option_a_pl","id","created_date","updated_date","created_by_id","created_by","is_sample"
"Початком Шведського потопу","Чем знаменита Венская битва 1683 года?","Перемогою над Тевтонським орденом","A","Victory of the Polish-Austrian troops over the Ottoman Empire","Z czego słynie Bitwa pod Wiedniem z 1683 roku?","Победой над Тевтонским орденом","Lyublin Ittifoqining imzolanishi","Началом Шведского потопа","Polsha-Avstriya qo'shinlarining Usmonli imperiyasi ustidan g'alabasi","Signing of the Union of Lublin","Zwycięstwo nad Zakonem Krzyżackim","Początek potopu szwedzkiego","What is the Battle of Vienna of 1683 famous for?","Підписанням Люблінської унії","1683-yildagi Vena jangi nima bilan mashhur?","Перемогою польсько-австрійських військ над імперією Османа","Victory over the Teutonic Order","Shvetsiya suv toshqini boshlanishi","Победой польско-австрийских войск над Османской империей","Подписанием Люблинской унии","The beginning of the Swedish flood","Teuton ordeni ustidan qozonilgan g'alaba","Чим відома Віденська битва 1683?","Podpisanie Unii Lubelskiej","Zwycięstwo wojsk polsko-austriackich nad Imperium Osmańskim","6a5b4a4130ee48091b30f2af","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Був останнім королем Польщі","Чем прославился король Ян III Собеский?","Заснував Краків","A","Led the victory in the Battle of Vienna in 1683","Z czego słynął król Jan III Sobieski?","Основал Краков","3-may kuni Konstitutsiya qabul qilindi","Был последним королём Польши","1683-yilda Vena jangida g'alabaga boshchilik qildi","Adopted the Constitution on May 3","Założył Kraków","Był ostatnim królem Polski.","What was King Jan III Sobieski famous for?","Прийняв Конституцію 3 травня","Qirol Yan III Sobieski nima bilan mashhur bo'lgan?","Очолив перемогу у Віденській битві 1683 року","Founded Krakow","U Polshaning oxirgi qiroli edi.","Возглавил победу в Венской битве 1683 года","Принял Конституцию 3 мая","He was the last king of Poland.","Krakovga asos solingan","Чим уславився король Ян III Собеський?","Przyjął Konstytucję 3 maja","Doprowadził do zwycięstwa w bitwie pod Wiedniem w 1683 roku","6a5b4a4130ee48091b30f2b0","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Національний парк Банф","Какой из перечисленных является национальным парком Польши?","Єллоустонський національний парк","A","Belovezhskaya National Park","Który z poniższych jest parkiem narodowym w Polsce?","Йеллоустонский национальный парк","Plitvice ko'llari milliy bog'i","Национальный парк Банф","Belovejskaya milliy bog'i","Plitvice Lakes National Park","Park Narodowy Yellowstone","Park Narodowy Banff","Which of the following is a national park in Poland?","Національний парк Плитвицькі озера","Quyidagilardan qaysi biri Polshadagi milliy bog' hisoblanadi?","Біловезький національний парк","Yellowstone National Park","Banff milliy bog'i","Беловежский национальный парк","Национальный парк Плитвицкие озёра","Banff National Park","Yellouston milliy bog'i","Який із перелічених є національним парком Польщі?","Park Narodowy Jezior Plitwickich","Białowieski Park Narodowy","6a5b4a4130ee48091b30f2b1","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Буг","Какая река является самой длинной в Польше?","Вісла","B","Audra","Która rzeka w Polsce jest najdłuższa?","Висла","Varta","Буг","Audra","Varta","Wisła","Bug","Which is the longest river in Poland?","Варта","Polshadagi eng uzun daryo qaysi?","Одра","Vistula","Xato","Одра","Варта","Bug","Vistula","Яка річка є найдовшою у Польщі?","Warta","Odra","6a5b4a4130ee48091b30f2b2","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Литва, Латвія, Естонія та Білорусь","С какими странами граничит Польша?","Німеччина, Франція, Чехія та Угорщина","A","Germany, the Czech Republic, Slovakia, Ukraine, Belarus, Lithuania, and Russia (Kaliningrad Oblast)","Z jakimi krajami graniczy Polska?","Германия, Франция, Чехия и Венгрия","Germaniya, Avstriya, Ukraina va Ruminiya","Литва, Латвия, Эстония и Беларусь","Germaniya, Chexiya, Slovakiya, Ukraina, Belarus, Litva va Rossiya (Kaliningrad viloyati)","Germany, Austria, Ukraine and Romania","Niemcy, Francja, Czechy i Węgry","Litwa, Łotwa, Estonia i Białoruś","Which countries does Poland border?","Німеччина, Австрія, Україна та Румунія","Polsha qaysi davlatlar bilan chegaradosh?","Німеччина, Чехія, Словаччина, Україна, Білорусь, Литва та Росія (Калінінградська область)","Germany, France, the Czech Republic, and Hungary","Litva, Latviya, Estoniya va Belarus","Германия, Чехия, Словакия, Украина, Беларусь, Литва и Россия (Калининградская область)","Германия, Австрия, Украина и Румыния","Lithuania, Latvia, Estonia and Belarus","Germaniya, Fransiya, Chexiya va Vengriya","З якими країнами межує Польща?","Niemcy, Austria, Ukraina i Rumunia","Niemcy, Czechy, Słowacja, Ukraina, Białoruś, Litwa i Rosja (obwód kaliningradzki)","6a5b4a4130ee48091b30f2b3","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"рубль","Какая официальная валюта Польши?","Злотий","B","Euro","Jaka jest oficjalna waluta Polski?","Злотый","Toj","Рубль","Yevro","Crown","Złoty","Rubel","What is the official currency of Poland?","Крона","Polshaning rasmiy pul birligi nima?","Євро","Zloty","Rubl","Евро","Крона","Ruble","Zlotiy","Яка офіційна валюта Польщі?","Korona","Euro","6a5b4a4130ee48091b30f2b4","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Тарниця","Какая самая высокая горная вершина в Польше?","Гевонт","C","Snowball","Jaki jest najwyższy szczyt górski w Polsce?","Гевонт","Silovaklar","Тарница","Qor to'pi","Lynxes","Giewont","Tarnica","What is the highest mountain peak in Poland?","Риси","Polshadagi eng baland tog 'cho'qqisi qaysi?","Сніжка","Giewont","Tarnitsa","Снежка","Рысы","Tarnitsa","Giewont","Яка найвища гірська вершина у Польщі?","Rysy","Śnieżka","6a5b4a4130ee48091b30f2b5","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Юзеф Глемп","Кто из поляков стал Папой Римским в 1978 году?","Єжи Попелушко","C","Stefan Wyszynski","Który Polak został papieżem w 1978 roku?","Ежи Попелушко","Karol Voytyla (Ioann Pol II)","Юзеф Глемп","Stefan Viszinski","Karol Wojtyla (John Paul II)","Jerzy Popiełuszko","Józef Glemp","Which Pole became Pope in 1978?","Кароль Войтила (Іоанн Павло ІІ)","1978-yilda qaysi polyak Papa bo'ldi?","Стефан Вишинський","Jerzy Popiełuszko","Jozef Glemp","Стефан Вышинский","Кароль Войтыла (Иоанн Павел II)","Józef Glemp","Eji Popieluszko","Хто з поляків став Папою Римським у 1978 році?","Karol Wojtyła (Jan Paweł II)","Stefan Wyszyński","6a5b4a4130ee48091b30f2b6","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Краків","Какой город был столицей Польши до переноса её в Варшаву?","Вроцлав","D","Gdansk","Które miasto było stolicą Polski zanim została przeniesiona do Warszawy?","Вроцлав","Lublin","Краков","Gdansk","Lublin","Wrocław","Kraków","What city was the capital of Poland before it was moved to Warsaw?","Люблін","Polsha Varshavaga ko'chirilishidan oldin uning poytaxti qaysi shahar edi?","Гданськ","Wroclaw","Krakov","Гданьск","Люблин","Krakow","Vrotslav","Яке місто було столицею Польщі до перенесення її до Варшави?","Lublin","Gdańsk","6a5b4a4130ee48091b30f2b7","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Чорне море","Какое море омывает Польшу на севере?","Північне море","A","Baltic Sea","Które morze obmywa Polskę na północy?","Северное море","Adriatik dengizi","Чёрное море","Boltiq dengizi","Adriatic Sea","Morze Północne","Morze Czarne","Which sea washes Poland in the north?","Адріатичне море","Polshani shimolda qaysi dengiz yuvadi?","Балтійське море","North Sea","Qora dengiz","Балтийское море","Адриатическое море","Black Sea","Shimoliy dengiz","Яке море омиває Польщу на півночі?","Morze Adriatyckie","Morze Bałtyckie","6a5b4a4130ee48091b30f2b8","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Щецін","Какой польский город называют ""Венецией Севера"" из-за множества мостов и островов?","Вроцлав","B","Gdansk","Które polskie miasto nazywane jest „Wenecją Północy” ze względu na liczne mosty i wyspy?","Вроцлав","Poznan","Щецин","Gdansk","Poznan","Wrocław","Szczecin","Which Polish city is called the ""Venice of the North"" because of its many bridges and islands?","Познань","Polshaning qaysi shahri ko'plab ko'priklar va orollar tufayli ""Shimol Venetsiyasi"" deb ataladi?","Гданськ","Wroclaw","Shchetsin","Гданьск","Познань","Szczecin","Vrotslav","Яке польське місто називають ""Венецією Півночі"" через безліч мостів та островів?","Poznań","Gdańsk","6a5b4a4130ee48091b30f2b9","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Фляки","Как называется традиционный польский суп на закваске из ржаной муки?","Борщ","A","Zurek","Jak nazywa się tradycyjna polska zupa żytnia na zakwasie?","Борщ","Rosul","Фляки","Zurek","Rosul","Barszcz","Flaki","What is the name of the traditional Polish sourdough rye soup?","Росул","An'anaviy Polsha xamirturushli javdar sho'rvasining nomi nima?","Журек","Borsch","Flaki","Журек","Росул","Flaki","Borsch","Як називається традиційний польський суп на заквасці з житнього борошна?","Rosół","Żurek","6a5b4a4130ee48091b30f2ba","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
