"option_d_uk","question_ru","option_b_uk","correct_answer","option_a_en","question_pl","option_b_ru","option_c_uz","option_d_ru","option_a_uz","option_c_en","option_b_pl","option_d_pl","question_en","option_c_uk","question_uz","option_a_uk","option_b_en","option_d_uz","option_a_ru","option_c_ru","option_d_en","option_b_uz","question_uk","option_c_pl","option_a_pl","id","created_date","updated_date","created_by_id","created_by","is_sample"
"Согдійське відродження","Как часто называют период культурного и научного расцвета при власти Тимуридов, включая деятельность Улугбека и Алишера Навои?","Епоха Золотої Орди","A","The Timurid Renaissance","Okres rozkwitu kulturalnego i naukowego pod rządami Timurydów, obejmujący dzieła Uługbeka i Alishera Nawoiego, jest często nazywany jak?","Эпоха Золотой Орды","Ipak yo'lining uyg'onishi","Согдийское возрождение","""Temuriylar renessansi""","The Silk Road Awakening","Era Złotej Ordy","Odrodzenie Sogdyjskie","The period of cultural and scientific flourishing under Timurid rule, including the work of Ulugbek and Alisher Navoiy, is often called what?","Пробудження Шовкового шляху","Ulug'bek va Alisher Navoiyning faoliyatini o'z ichiga olgan, Temuriylar hukmronligi davridagi madaniy va ilmiy yuksalish davri odatda qanday nomlanadi?","«Тимуридський ренесанс»","The Golden Horde Era","Sug'd uyg'onishi","«Тимуридский ренессанс»","Пробуждение Шёлкового пути","The Sogdian Revival","Oltin O'rda davri","Як часто називають період культурного і наукового розквіту за влади Тимуридів, включно з діяльністю Улугбека та Алішера Навої?","Przebudzenie Jedwabnego Szlaku","""Renesans Timurydów""","abb1eff0bdf6430e930c4232","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Улугбек","Какой военачальник основал узбекскую династию Шейбанидов и положил конец правлению Тимуридов в Мавераннахре в начале XVI века?","Амір Темур","A","Muhammad Shaybani","Który wódz założył uzbecką dynastię Szajbanidów i zakończył panowanie Timurydów w Transoksanii na początku XVI wieku?","Амир Темур","Bobur","Улугбек","Muhammad Shayboniy","Babur","Amir Timur","Ulugbek","Which military leader founded the Uzbek Shaybanid dynasty and ended Timurid rule in Transoxiana in the early 16th century?","Бабур","XVI asr boshida o'zbek Shayboniylar sulolasiga asos solgan va Movarounnahrda Temuriylar hukmronligiga barham bergan sarkarda kim edi?","Мухаммад Шейбані","Amir Temur","Ulug'bek","Мухаммад Шейбани","Бабур","Ulugbek","Amir Temur","Який воєначальник заснував узбецьку династію Шейбанідів і поклав край правлінню Тимуридів у Мавераннахрі на початку XVI століття?","Babur","Muhammad Szajbani","80381b4d17274a3684b30252","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Коканд","В каком городе находится Шахи-Зинда — знаменитая аллея мавзолеев с потрясающей голубой изразцовой отделкой?","Бухара","A","Samarkand","W którym mieście znajduje się Szah-i-Zinda, słynna aleja mauzoleów z uderzającymi niebieskimi kaflami?","Бухара","Xiva","Коканд","Samarqand","Khiva","Buchara","Kokand","Shah-i-Zinda, a famous avenue of mausoleums with striking blue tilework, is located in which city?","Хіва","Ajoyib ko'k kошинкор bilan bezatilgan mashhur maqbaralar avenue bo'lgan Shohi Zinda qaysi shaharda joylashgan?","Самарканд","Bukhara","Qo'qon","Самарканд","Хива","Kokand","Buxoro","У якому місті знаходиться Шахі-Зінда — знаменита алея мавзолеїв з приголомшливою блакитною кахельною обробкою?","Chiwa","Samarkanda","6da664416fc344bb8a2829d7","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Ной","С легендой о каком библейском/кораническом пророке связан мавзолей Чашма-Аюб в Бухаре?","Мойсей","A","Job (Ayub)","Mauzoleum Czaszma-Ajub w Bucharze wiąże się z legendą o którym proroku biblijnym/koranicznym?","Моисей","Ibrohim","Ной","Ayub (Ayyub)","Abraham","Mojżesz","Noe","The Chashma-Ayub Mausoleum in Bukhara is associated with the legend of which biblical/Quranic prophet?","Авраам","Buxorodagi Chashmai Ayub maqbarasi qaysi bibliyaviy/qur'oniy payg'ambar afsonasi bilan bog'liq?","Йов (Айюб)","Moses","Nuh","Иов (Аюб)","Авраам","Noah","Muso","З легендою про якого біблійного/коранічного пророка пов'язаний мавзолей Чашма-Аюб у Бухарі?","Abraham","Hiob (Ajub)","70945215869443b2aa3a596d","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Ташкент","Комплекс Пои-Калян, включающий знаменитый минарет и мечеть Калян, является достопримечательностью какого города?","Самарканд","A","Bukhara","Kompleks Poi-Kalan, obejmujący słynny minaret i meczet Kalan, jest zabytkiem którego miasta?","Самарканд","Xiva","Ташкент","Buxoro","Khiva","Samarkanda","Taszkent","The Poi-Kalyan complex, which includes the famous Kalyan Minaret and Mosque, is a landmark of which city?","Хіва","Mashhur Kalon minorasi va masjidini o'z ichiga olgan Poi-Kalon majmuasi qaysi shaharning diqqatga sazovor joyi hisoblanadi?","Бухара","Samarkand","Toshkent","Бухара","Хива","Tashkent","Samarqand","Комплекс Пої-Калян, що включає знаменитий мінарет і мечеть Калян, є пам'яткою якого міста?","Chiwa","Buchara","92591f584a454322a465a24e","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Медресе Калян","Какое из трёх медресе Регистана в Самарканде знаменито изображениями тигров и львоподобных существ, что необычно для исламской архитектуры?","Медресе Улугбека","A","Sher-Dor Madrasah","Które z trzech medres Registanu w Samarkandzie słynie z przedstawień tygrysów i istot podobnych do lwów, co jest niezwykłe w architekturze islamskiej?","Медресе Улугбека","Tillakori madrasasi","Медресе Калян","Sherdor madrasasi","Tilya-Kori Madrasah","Medresa Uługbeka","Medresa Kalan","Which of the three Registan madrasahs in Samarkand is famous for depicting tigers and lion-like creatures, unusual in Islamic architecture?","Медресе Тілля-Карі","Samarqanddagi Registon maydonidagi uchta madrasadan qaysi biri islom me'morchiligi uchun odatiy bo'lmagan yo'lbars va sherga o'xshash mavjudotlar tasviri bilan mashhur?","Медресе Шердор","Ulugbek Madrasah","Kalon madrasasi","Медресе Шердор","Медресе Тилля-Кари","Kalyan Madrasah","Ulug'bek madrasasi","Яке з трьох медресе Регістану в Самарканді знамените зображеннями тигрів і левоподібних істот, що незвично для ісламської архітектури?","Medresa Tilla-Kari","Medresa Szer-Dor","ff1d8d8881fd4cc98d46bfe3","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Чор-Мінор","Какое медресе Регистана в Самарканде, чьё название означает «Позолоченное», вмещает главную пятничную мечеть ансамбля?","Медресе Шердор","A","Tilya-Kori Madrasah","Które medresa Registanu w Samarkandzie, którego nazwa oznacza ""Złocone"", mieści główny meczet piątkowy zespołu?","Медресе Шердор","Ulug'bek madrasasi","Чор-Минор","Tillakori madrasasi","Ulugbek Madrasah","Medresa Szer-Dor","Czor-Minor","Which Registan madrasah in Samarkand, whose name means ""Gilded"" or ""Decorated with Gold"", houses the main Friday mosque of the ensemble?","Медресе Улугбека","Nomi ""Oltin bilan bezatilgan"" degan ma'noni anglatuvchi qaysi Registon madrasasida majmuaning bosh juma masjidi joylashgan?","Медресе Тілля-Карі","Sher-Dor Madrasah","Chor-Minor","Медресе Тилля-Кари","Медресе Улугбека","Chor-Minor","Sherdor madrasasi","Яке медресе Регістану в Самарканді, назва якого означає «Позолочене», вміщує головну п'ятничну мечеть ансамблю?","Medresa Uługbeka","Medresa Tilla-Kari","edcb9e1a0e7c4cf5a40a6de9","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Ташкент","В каком городе находится Чор-Минор — небольшое здание, увенчанное четырьмя характерными голубыми купольными минаретами?","Самарканд","A","Bukhara","W którym mieście znajduje się Czor-Minor — niewielki budynek zwieńczony czterema charakterystycznymi niebieskimi kopulastymi minaretami?","Самарканд","Xiva","Ташкент","Buxoro","Khiva","Samarkanda","Taszkent","Chor-Minor, a small building topped with four distinctive blue domed minarets, is located in which city?","Хіва","To'rtta o'ziga xos ko'k gumbazli minora bilan bezatilgan kichik bino bo'lgan Chor-Minor qaysi shaharda joylashgan?","Бухара","Samarkand","Toshkent","Бухара","Хива","Tashkent","Samarqand","У якому місті знаходиться Чор-Мінор — невелика будівля, увінчана чотирма характерними блакитними купольними мінаретами?","Chiwa","Buchara","a9f5032b8990496bb1d16d76","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Пої-Калян","Кунья-Арк, цитадель и бывшая резиденция хивинских ханов, находится внутри какого обнесённого стеной внутреннего города?","Реєстан","A","Itchan Kala","Kunya-Ark, cytadela i była rezydencja chanów Chiwy, znajduje się wewnątrz którego otoczonego murami wewnętrznego miasta?","Регистан","Chor-Bakr","Пои-Калян","Ichan-Qal'a","Chor-Bakr","Registan","Poi-Kalan","Kunya-Ark, the citadel and former residence of the Khiva khans, is located within which walled inner city?","Чор-Бакр","Xiva xonlarining qal'asi va sobiq qarorgohi bo'lgan Ko'hna Ark qaysi devor bilan o'ralgan ichki shahar ichida joylashgan?","Ічан-Кала","Registan","Poi-Kalon","Ичан-Кала","Чор-Бакр","Poi-Kalyan","Registon","Кунья-Арк, цитадель і колишня резиденція хівинських ханів, знаходиться всередині якого обнесеного стіною внутрішнього міста?","Czor-Bakr","Iczan-Kala","8b8da26d70a64bca929f03cf","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Коканд","В каком городе находится дворец Таш-Хаули («Каменный двор») с богато украшенными покоями гарема и приёмными залами?","Бухара","A","Khiva","W którym mieście znajduje się pałac Tasz-Chauli (""Kamienny Dziedziniec"") z bogato zdobionymi komnatami haremu i salami recepcyjnymi?","Бухара","Samarqand","Коканд","Xiva","Samarkand","Buchara","Kokand","Tash Khauli, the ""Stone Courtyard"" palace with elaborately decorated harem and reception rooms, is located in which city?","Самарканд","Boy bezatilgan harom xonalari va qabulxonalari bo'lgan Toshhovli (""Toshli hovli"") saroyi qaysi shaharda joylashgan?","Хіва","Bukhara","Qo'qon","Хива","Самарканд","Kokand","Buxoro","У якому місті знаходиться палац Таш-Хаулі («Кам'яне подвір'я») з багато прикрашеними покоями гарему та прийомними залами?","Samarkanda","Chiwa","9a61582e255e41948558c688","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Чор-Мінор","Какой минарет в Хиве является самым высоким в Узбекистане, его высота превышает 50 метров?","Кальта-Мінор","A","Islam Khoja Minaret","Który minaret w Chiwie jest najwyższym w Uzbekistanie, o wysokości ponad 50 metrów?","Кальта-Минор","Kalon minorasi","Чор-Минор","Islom Xo'ja minorasi","Kalyan Minaret","Kalta-Minor","Czor-Minor","Which minaret in Khiva is the tallest in Uzbekistan, standing over 50 meters high?","Мінарет Калян","Balandligi 50 metrdan oshadigan, O'zbekistondagi eng baland minora Xivada qaysi minora hisoblanadi?","Мінарет Іслам-Ходжа","Kalta Minor","Chor-Minor","Минарет Ислам-Ходжа","Минарет Калян","Chor-Minor","Kalta minor","Який мінарет у Хіві є найвищим в Узбекистані, його висота перевищує 50 метрів?","Minaret Kalan","Minaret Islam-Chodża","6170779b52174ea69f2068f0","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Він плаває на воді","Что необычного в минарете Кальта-Минор в Хиве по сравнению с типичными минаретами?","Він повністю зроблений із золота","A","It is short and wide, left unfinished","Co jest niezwykłego w minarecie Kalta-Minor w Chiwie w porównaniu z typowymi minaretami?","Он полностью сделан из золота","Unda hech qanday bezak yo'q","Он плавает на воде","U past va keng, tugallanmagan holda qolgan","It has no decoration at all","Jest wykonany w całości ze złota","Unosi się na wodzie","What is unusual about the Kalta Minor minaret in Khiva compared to typical minarets?","На ньому взагалі немає прикрас","Xivadagi Kalta minor odatiy minoralarga nisbatan nimasi bilan g'ayrioddiy?","Він короткий і широкий, залишився недобудованим","It is made entirely of gold","U suvda suzadi","Он короткий и широкий, остался недостроенным","На нём вообще нет украшений","It floats on water","U butunlay oltindan yasalgan","Що незвичного в мінареті Кальта-Мінор у Хіві порівняно з типовими мінаретами?","Nie ma żadnych zdobień","Jest niski i szeroki, pozostał niedokończony","6fe408324408471f8924ef83","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"аль-Біруні","Какой средневековый хадисовед, родившийся в Бухаре, составил сборник, известный как «Сахих аль-Бухари»?","Імам ат-Термізі","A","Imam al-Bukhari","Który średniowieczny uczony hadisów, urodzony w Bucharze, skompilował zbiór znany jako Sahih al-Bukhari?","Имам ат-Термизи","Ibn Sino","аль-Бируни","Imom al-Buxoriy","Ibn Sino","Imam at-Tirmidhi","Al-Biruni","Which medieval hadith scholar, born in Bukhara, compiled the collection known as Sahih al-Bukhari?","Ібн Сіна","Buxoroda tug'ilgan qaysi o'rta asr hadis olimi ""Sahihi Buxoriy"" nomi bilan mashhur to'plamni tuzgan?","Імам аль-Бухарі","Imam at-Termizi","Al-Beruniy","Имам аль-Бухари","Ибн Сина","Al-Beruniy","Imom at-Termiziy","Який середньовічний хадисознавець, що народився в Бухарі, склав збірку, відому як «Сахіх аль-Бухарі»?","Ibn Sina","Imam al-Bukhari","0049cbfcb86b49ee897db799","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"аз-Замахшарі","Какой известный хадисовед, один из составителей «Шести книг» суннитского ислама, родился в южном городе Термез?","Імам аль-Бухарі","A","Imam at-Termizi","Który znany uczony hadisów, jeden z kompilatorów ""Sześciu Ksiąg"" islamu sunnickiego, urodził się w południowym mieście Termez?","Имам аль-Бухари","Al-Farg'oniy","аз-Замахшари","Imom at-Termiziy","Al-Farghani","Imam al-Bukhari","Az-Zamakhszari","Which renowned hadith scholar, one of the compilers of the ""Six Books"" of Sunni Islam, was born in the southern city of Termez?","аль-Фаргані","Sunniy islomning ""Olti kitob""i muallif-tuzuvchilaridan biri bo'lgan taniqli hadis olimi janubiy Termiz shahrida tug'ilgan edi, u kim?","Імам ат-Термізі","Imam al-Bukhari","Az-Zamaxshariy","Имам ат-Термизи","аль-Фаргани","Az-Zamakhshari","Imom al-Buxoriy","Який відомий хадисознавець, один із укладачів «Шести книг» сунітського ісламу, народився в південному місті Термез?","Al-Farghani","Imam at-Tirmidhi","95ff7de1e8a9482892a3593f","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Улугбек","Какой суфийский мистик, чья гробница возле Бухары остаётся крупным местом паломничества, основал влиятельный орден Накшбанди?","Імам аль-Бухарі","A","Baha-ud-Din Naqshband","Który mistyk sufi, którego grobowiec pod Bucharą pozostaje ważnym miejscem pielgrzymkowym, założył wpływowy zakon Nakszbandi?","Имам аль-Бухари","Ahmad Yassaviy","Улугбек","Bahouddin Naqshband","Ahmad Yassawi","Imam al-Bukhari","Ulugbek","Which Sufi mystic, whose tomb near Bukhara remains a major pilgrimage site, founded the influential Naqshbandi order?","Ахмад Ясаві","Buxoro yaqinidagi maqbarasi hozirgacha yirik ziyoratgoh bo'lib qolgan qaysi tasavvuf mutafakkiri ta'sirchan Naqshbandiya tariqatiga asos solgan?","Бахауддін Накшбанд","Imam al-Bukhari","Ulug'bek","Бахауддин Накшбанд","Ахмад Ясави","Ulugbek","Imom al-Buxoriy","Який суфійський містик, чия гробниця біля Бухари залишається великим місцем паломництва, заснував впливовий орден Накшбанді?","Ahmad Jasawi","Baha ad-Din Nakszband","2078f8d3495b4749aa25ff1e","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Ташкент","Аль-Фаргани, известный на Западе как Альфраганус, был средневековым астрономом, рождённым в каком регионе современного Узбекистана?","Хорезм","A","The Fergana Valley","Al-Farghani, znany na Zachodzie jako Alfraganus, był średniowiecznym astronomem urodzonym w którym regionie dzisiejszego Uzbekistanu?","Хорезм","Buxoro","Ташкент","Farg'ona vodiysi","Bukhara","Chorezm","Taszkent","Al-Farghani, also known in the West as Alfraganus, was a medieval astronomer born in which region of present-day Uzbekistan?","Бухара","G'arbda Alfraganus nomi bilan tanilgan Al-Farg'oniy hozirgi O'zbekistonning qaysi mintaqasida tug'ilgan o'rta asr munajjimi edi?","Ферганська долина","Khorezm","Toshkent","Ферганская долина","Бухара","Tashkent","Xorazm","Аль-Фаргані, відомий на Заході як Альфраганус, був середньовічним астрономом, народженим у якому регіоні сучасного Узбекистану?","Buchara","Dolina Fergańska","ee9f78f9e2ed437c88a9583b","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
