"question_text_en","time_limit","subject","options_en","target_language","correct_answer","options_uz","points","options_pl","question_text_az","options_tr","question_text_pl","explanation_ru","options_az","question_text_tr","explanation_tr","question_text_ru","explanation_pl","explanation_az","source_language","options_ru","difficulty","explanation_en","explanation_uz","question_text_uz","id","created_date","updated_date","created_by_id","created_by","is_sample"
"In ""The Nightmare Before Christmas,"" who is the ""Shadow on the Moon at night""?","12","movies","[""Jack"",""Oogie Boogie"",""Sally"",""Lock""]","","1","[""Jek"",""Oogi Bugi"",""Salli"",""Lok""]","1","[""Jack"",""Oogie Boogie"",""Sally"",""Lock""]","""Miladdan əvvəlki kabus""da ""Gecələr Ayın üzərindəki kölgə"" kimdir?","[""Jack"",""Oogie Boogie"",""Sally"",""Lock""]","Kto w filmie „Miasteczko Halloween” (ang. The Nightmare Before Christmas) jest określany jako „cień na księżycu nocą” (ang. shadow on the moon at night)?","","[""Cek"",""Oogi Bugi"",""Salli"",""Lok""]","""Noel Öncesi Kabus"" filminde ""Geceleyin Ay üzerindeki Gölge"" kimdir?","","В мультфильме ""Кошмар перед Рождеством"" кто такая ""Тень на Луне ночью""?","","","","[""Джек"",""Уги Буги"",""Салли"",""Лок""]","5","","","""Rojdestvo oldidagi dahshatli tush""da ""Tungi Oydagi soya"" kim?","698675cd4a9d158ccfdc0112","2026-02-06T23:14:21.683000","2026-07-09T21:26:54.629000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"What is the name of the high school in ""Spider-Man: Homecoming""?","12","movies","[""Midtown High"",""Riverdale High"",""Central High"",""Queens Prep""]","","0","[""Midtown High"",""Riverdale High"",""Central High"",""Queens Prep""]","1","[""Midtown High"",""Riverdale High"",""Central High"",""Queens Prep""]","""Hörümçək Adam: Evə Qayıdış"" filmindəki orta məktəbin adı nədir?","[""Midtown Lisesi"",""Riverdale Lisesi"",""Central Lisesi"",""Queens Hazırlık Okulu""]","Jak nazywa się szkoła średnia, do której uczęszcza główny bohater w filmie „Spider-Man: Homecoming”?","","[""Midtown Liseyi"",""Riverdeyl Liseyi"",""Mərkəzi Lisey"",""Kvins Hazırlığı""]","""Örümcek Adam: Eve Dönüş"" filmindeki lisenin adı nedir?","","Как называется средняя школа в фильме ""Человек-паук: Возвращение домой""?","","","","[""Midtown High"",""Riverdale High"",""Central High"",""Queens Prep""]","5","","","""O'rgimchak odam: Uyga qaytish"" filmidagi o'rta maktabning nomi nima?","698675cd0aa69e94d8755846","2026-02-06T23:14:21.580000","2026-07-09T21:26:55.778000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"In ""The Princess Bride,"" what is the name of the six-fingered man?","12","movies","[""Inigo Montoya"",""Count Rugen"",""Vizzini"",""Fezzik""]","","1","[""Inigo Montoya"",""Count Rugen"",""Vizzini"",""Fezzik""]","1","[""Inigo Montoya"",""Hrabia Rugen"",""Vizzini"",""Fezzik""]","""Şahzadə Gəlin""də altı barmaqlı kişinin adı nədir?","[""Inigo Montoya"",""Kont Rugen"",""Vizzini"",""Fezzik""]","W filmie ""Narzeczona dla księcia"" jak nazywa się sześcio-palczasty człowiek?","","[""İniqo Montoya"",""Count Rugen"",""Vizzini"",""Fezzik""]","""Prenses Gelin"" filminde altı parmaklı adamın adı nedir?","","Как зовут человека с шестью пальцами в фильме ""Принцесса-невеста""?","","","","[""Иниго Монтойя"",""Граф Рюген"",""Виццини"",""Феззик""]","5","","","""Malika kelin""da olti barmoqli odamning ismi nima?","698675cdc8bcfb88bfd86f4a","2026-02-06T23:14:21.477000","2026-07-09T14:22:28.099000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"Which movie features a man trying to find ""P. Sherman, 42 Wallaby Way, Sydney""?","12","movies","[""Cast Away"",""Finding Nemo"",""Shark Tale"",""Life of Pi""]","","1","[""Uloqtirib yuborilgan"",""Nemoni topish"",""Akula ertagi"",""Pining hayoti""]","1","[""Cast Away"",""Gdzie jest Dory?"",""Rybki z ferajny"",""Życie Pi""]","Hansı filmdə ""P. Şerman, 42 Wallaby Way, Sidney""i tapmağa çalışan bir kişi təsvir olunur?","[""Kayıp Ada"",""Nemo'yu Bulmak"",""Köpekbalığı Masalı"",""Pi'nin Hayatı""]","W którym filmie mężczyzna próbuje odnaleźć adres „P. Sherman, 42 Wallaby Way, Sydney”?","","[""Atılmış"",""Nemonu tapmaq"",""Köpəkbalığı nağılı"",""Pinin həyatı""]","Hangi filmde bir adam ""P. Sherman, 42 Wallaby Way, Sydney"" adresini bulmaya çalışır?","","В каком фильме мужчина пытается найти ""П. Шермана, 42 Уоллаби Уэй, Сидней""?","","","","[""Изгой"",""В поисках Немо"",""История акулы"",""Жизнь Пи""]","5","","","Qaysi filmda ""P. Sherman, 42 Wallaby Way, Sidney""ni qidirayotgan odam tasvirlangan?","698675cd8dd473c813728742","2026-02-06T23:14:21.361000","2026-07-09T15:42:16.136000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"In ""Toy Story 3,"" what is the name of the pink bear?","12","movies","[""Hugsy"",""Lots-o'-Huggin' Bear"",""Teddy"",""Berry""]","","1","[""Hugsy"",""Lots-o'-Huggin' Bear"",""Teddy"",""Berry""]","1","[""Hugsy"",""Lotso"",""Teddy"",""Berry""]","""Oyuncaq Hekayəsi 3""də çəhrayı ayının adı nədir?","[""Hugsy"",""Lots-o'-Huggin' Bear"",""Teddy"",""Berry""]","Jak nazywa się różowy niedźwiedź w filmie „Toy Story 3”?","","[""Hugsy"",""Lots-o'-Huggin' Bear"",""Teddy"",""Berry""]","""Oyuncak Hikayesi 3"" filminde pembe ayının adı nedir?","","Как зовут розового медведя в мультфильме ""История игрушек 3""?","W polskiej wersji językowej filmu postać ta znana jest jako Lotso.","","","[""Хагси"",""Лотсо-Хаггин' Беар"",""Тедди"",""Берри""]","5","","","""O'yinchoqlar hikoyasi 3""da pushti ayiqning ismi nima?","698675cd54ccc9bc16215d06","2026-02-06T23:14:21.244000","2026-07-09T15:47:09.279000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"What is the name of the futuristic city in ""Metropolis"" (1927)?","12","movies","[""Metropolis"",""Gotham"",""Neo-Tokyo"",""The City""]","","0","[""Metropolis"",""Gotham"",""Neo-Tokyo"",""Shahar""]","1","[""Metropolis"",""Gotham"",""Neo-Tokyo"",""Miasto""]","""Metropolis""də (1927) futuristik şəhərin adı nədir?","[""Metropolis"",""Gotham"",""Neo-Tokyo"",""Şehir""]","Jak nazywa się futurystyczne miasto w filmie „Metropolis” (1927)?","","[""Metropolis"",""Qotem"",""Neo-Tokyo"",""Şəhər""]","""Metropolis"" (1927) filmindeki fütüristik şehrin adı nedir?","","Как называется футуристический город в фильме ""Метрополис"" (1927)?","","","","[""Метрополис"",""Готэм"",""Нео-Токио"",""Город""]","5","","","""Metropolis"" (1927) asaridagi futuristik shaharning nomi nima?","698675cd1391ffe8540366f3","2026-02-06T23:14:21.144000","2026-07-09T13:17:54.850000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"In ""Shaun of the Dead,"" what is the name of the pub they hide in?","12","movies","[""The Red Lion"",""The Winchester"",""The Crown"",""The Swan""]","","1","[""Qizil sher"",""Vinchester"",""Toj"",""Oqqush""]","1","[""The Red Lion"",""The Winchester"",""The Crown"",""The Swan""]","""Ölülərin Şounu""nda onların gizləndiyi pabın adı nədir?","[""Kırmızı Aslan"",""Winchester"",""Taç"",""Kuğu""]","Jak nazywa się pub, w którym ukrywają się bohaterowie filmu ""Wysyp żywych trupów""?","","[""Qırmızı Aslan"",""Vinçester"",""Tac"",""Qu quşu""]","""Shaun of the Dead"" filminde saklandıkları pub'ın adı nedir?","","Как называется паб в фильме ""Шон из мертвых"", в котором они прячутся?","","","","[""Красный лев"",""Винчестер"",""Корона"",""Лебедь""]","5","","","""O'liklarning Shoni""da ular yashiringan pabning nomi nima?","698675cd373b694fd0338320","2026-02-06T23:14:21.046000","2026-07-09T21:26:56.908000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"Which movie features the ""Chest-beating"" scene by Matthew McConaughey?","12","movies","[""Magic Mike"",""The Wolf of Wall Street"",""Interstellar"",""Dallas Buyers Club""]","","1","[""Sehrli Mayk"",""Uoll-strit bo'risi"",""Yulduzlararo"",""Dallas xaridorlar klubi""]","1","[""Magic Mike"",""Wilk z Wall Street"",""Interstellar"",""Witaj w klubie""]","Metyu Makkonahinin ""Sinə döymək"" səhnəsi hansı filmdə yer alır?","[""Magic Mike"",""The Wolf of Wall Street"",""Interstellar"",""Dallas Buyers Club""]","W którym filmie pojawia się scena ""bicia się w klatkę piersiową"" w wykonaniu Matthew McConaugheya?","","[""Sehrli Mayk"",""Uoll Stritin Qurdu"",""Ulduzlararası"",""Dallas Alıcılar Klubu""]","Matthew McConaughey'nin ""göğsünü yumruklama"" sahnesinin yer aldığı film hangisidir?","","В каком фильме есть сцена, где Мэттью Макконехи бьет себя в грудь?","","","","[""Волшебный Майк"",""Волк с Уолл-стрит"",""Интерстеллар"",""Далласский клуб покупателей""]","5","","","Metyu Makkonaxining ""Ko'krak qafasini urish"" sahnasi qaysi filmda tasvirlangan?","698675cc5d8802d5c542d4b7","2026-02-06T23:14:20.948000","2026-07-08T18:34:08.111000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"In ""Fight Club,"" what is Tyler Durden's day job?","12","movies","[""Waiter"",""Soap Maker/Projectionist"",""Salesman"",""Stockbroker""]","","1","[""Ofitsiant"",""Sovun yasayotgan/proyeksiyachi"",""Sotuvchi"",""Birja brokeri""]","1","[""Kelner"",""Producent mydła/operator projektora"",""Sprzedawca"",""Makler giełdowy""]","""Döyüş Klubu""nda Tayler Durdenin gündəlik işi nədir?","[""Garson"",""Sabun Yapımcısı/Projeksiyoncu"",""Satıcı"",""Borsacı""]","Czym zawodowo zajmuje się Tyler Durden w filmie ""Fight Club""?","","[""Ofisiant"",""Sabunçu/Proyeksiyaçı"",""Satıcı"",""Birja makleri""]","""Dövüş Kulübü"" filminde Tyler Durden'ın asıl mesleği nedir?","","Чем занимается Тайлер Дёрден в фильме ""Бойцовский клуб""?","","","","[""Официант"",""Изготовитель мыла/Проекционист"",""Продавец"",""Биржевой брокер""]","5","","","""Jang klubi""da Tayler Durdenning kundalik ishi nima?","698675ccac4351eead7e3bbc","2026-02-06T23:14:20.852000","2026-07-08T18:34:09.320000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"What is the name of the main character in ""American Psycho""?","12","movies","[""Paul Allen"",""Patrick Bateman"",""Donald Kimball"",""Craig McDermott""]","","1","[""Pol Allen"",""Patrik Beytman"",""Donald Kimball"",""Kreyg MakDermott""]","1","[""Paul Allen"",""Patrick Bateman"",""Donald Kimball"",""Craig McDermott""]","""Amerikan Psixosu""nun əsas personajının adı nədir?","[""Paul Allen"",""Patrick Bateman"",""Donald Kimball"",""Craig McDermott""]","Jak nazywa się główny bohater powieści „American Psycho”?","","[""Pol Allen"",""Patrik Beytman"",""Donald Kimball"",""Kreyq MakDermott""]","""American Psycho"" filmindeki baş karakterin adı nedir?","","Как зовут главного героя в фильме ""Американский психопат""?","","","","[""Пол Аллен"",""Патрик Бейтман"",""Дональд Кимбалл"",""Крейг Макдермотт""]","5","","","""Amerikalik psixopat"" asaridagi bosh qahramonning ismi nima?","698675ccc22b6729381403ca","2026-02-06T23:14:20.765000","2026-07-09T21:26:57.923000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"In ""The Lion King,"" who is the advisor to Mufasa?","12","movies","[""Rafiki"",""Zazu"",""Scar"",""Pumbaa""]","","1","[""Rafiki"",""Zazu"",""Scar"",""Pumbaa""]","1","[""Rafiki"",""Zazu"",""Skaza"",""Pumbaa""]","""Aslan Kral""da Mufasanın məsləhətçisi kimdir?","[""Rafiki"",""Zazu"",""Yara izi"",""Pumbaa""]","W ""Królu Lwie"" kto jest doradcą Mufasy?","","[""Rafiki"",""Zazu"",""Çapıq"",""Pumbaa""]","""Aslan Kral"" filminde Mufasa'nın danışmanı kimdir?","","В мультфильме ""Король Лев"" кто является советником Муфасы?","","","","[""Рафики"",""Зазу"",""Шрам"",""Пумба""]","5","","","""Qirol sher""da Mufasaning maslahatchisi kim?","698675ccab335ddfc86de9d3","2026-02-06T23:14:20.668000","2026-07-09T15:07:53.666000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"Which movie features a ""Voight-Kampff"" machine?","12","movies","[""Blade Runner"",""Alien"",""Ex Machina"",""Tron""]","","0","[""Pichoq yuguruvchisi"",""O'zga sayyoralik"",""Ex Machina"",""Tron""]","1","[""Blade Runner"",""Obcy"",""Ex Machina"",""Tron""]","""Voight-Kampff"" maşını hansı filmdə təsvir olunur?","[""Blade Runner"",""Alien"",""Ex Machina"",""Tron""]","W którym filmie pojawia się maszyna ""Voight-Kampff""?","","[""Bıçaq Qaçışı"",""Yadplanetli"",""Ex Machina"",""Tron""]","Hangi filmde ""Voight-Kampff"" makinesi yer alıyor?","","В каком фильме показана машина Войт-Кампфа?","","","","[""Бегущий по лезвию"",""Чужой"",""Ex Machina"",""Трон""]","5","","","Qaysi filmda ""Voight-Kampff"" mashinasi tasvirlangan?","698675cc50f06902496b408e","2026-02-06T23:14:20.550000","2026-07-09T15:17:34.450000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"In ""Goodfellas,"" what is the name of the character played by Ray Liotta?","12","movies","[""Tommy DeVito"",""Henry Hill"",""Jimmy Conway"",""Paulie Cicero""]","","1","[""Tommi DeVito"",""Genri Xill"",""Jimmi Konvey"",""Poli Sitsero""]","1","[""Tommy DeVito"",""Henry Hill"",""Jimmy Conway"",""Paulie Cicero""]","""Goodfellas""da Rey Liottanın canlandırdığı personajın adı nədir?","[""Tommy DeVito"",""Henry Hill"",""Jimmy Conway"",""Paulie Cicero""]","Jak nazywa się postać grana przez Raya Liottę w filmie „Chłopcy z ferajny”?","","[""Tommi DeVito"",""Henri Hill"",""Cimmi Konvey"",""Poli Sisero""]","""Goodfellas"" filminde Ray Liotta'nın canlandırdığı karakterin adı nedir?","","Как зовут персонажа, которого сыграл Рэй Лиотта в фильме ""Славные парни""?","","","","[""Томми ДеВито"",""Генри Хилл"",""Джимми Конвей"",""Поли Сисеро""]","5","","","""Yaxshi yigitlar"" asarida Rey Liotta o'ynagan qahramonning ismi nima?","698675cc7815d859cd942c54","2026-02-06T23:14:20.457000","2026-07-09T21:26:59.360000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
